genre,time_bin,x_centered,y_centered,z_centered
edm,11.5000,0.7926,6.0620,-1.2428
edm,11.6000,0.8387,6.1233,-1.2472
edm,11.7000,0.8738,6.1706,-1.2518
edm,11.8000,0.8880,6.1863,-1.2581
edm,11.9000,0.8522,6.2755,-1.2748
edm,12.0000,0.8024,6.3790,-1.2890
edm,12.1000,0.7922,6.4872,-1.3010
edm,12.2000,0.8275,6.5379,-1.3068
edm,12.3000,0.8369,6.5451,-1.3032
edm,12.4000,0.8477,6.5158,-1.2992
edm,12.5000,0.8687,6.4817,-1.3032
edm,12.6000,0.8812,6.4275,-1.2931
edm,12.7000,0.8962,6.3891,-1.2850
edm,12.8000,0.9113,6.3861,-1.2822
edm,12.9000,0.9077,6.3827,-1.2817
edm,13.0000,0.8984,6.3439,-1.2795
edm,13.1000,0.8738,6.3309,-1.2770
edm,13.2000,0.8514,6.3086,-1.2641
edm,13.3000,0.8354,6.3208,-1.2652
edm,13.4000,0.8248,6.3633,-1.2721
edm,13.5000,0.8079,6.3655,-1.2819
edm,13.6000,0.7816,6.4133,-1.2924
edm,13.7000,0.7657,6.4665,-1.2971
edm,13.8000,0.7363,6.4640,-1.2898
edm,13.9000,0.7050,6.4727,-1.2872
edm,14.0000,0.6885,6.4725,-1.2854
edm,14.1000,0.7285,6.4590,-1.2782
edm,14.2000,0.7941,6.4724,-1.2744
edm,14.3000,0.8181,6.5269,-1.2785
edm,14.4000,0.8202,6.5679,-1.2762
edm,14.5000,0.7945,6.6303,-1.2740
edm,14.6000,0.7505,6.6791,-1.2753
edm,14.7000,0.7310,6.6885,-1.2737
edm,14.8000,0.7412,6.6894,-1.2722
edm,14.9000,0.7860,6.7317,-1.2737
edm,15.0000,0.7873,6.8164,-1.2798
edm,15.1000,0.7524,6.9841,-1.2842
edm,15.2000,0.7624,7.1813,-1.2918
edm,15.3000,0.7770,7.2978,-1.3113
edm,15.4000,0.7838,7.2945,-1.3122
edm,15.5000,0.7735,7.1841,-1.3068
edm,15.6000,0.7853,7.1124,-1.3128
edm,15.7000,0.7816,7.0851,-1.3156
edm,15.8000,0.7876,7.0922,-1.3222
edm,15.9000,0.7807,7.1216,-1.3337
edm,16.0000,0.8020,7.1424,-1.3249
edm,16.1000,0.6453,7.1064,-1.2929
edm,16.2000,0.9701,7.1306,-1.3519
edm,16.3000,1.0366,7.1198,-1.3672
edm,16.4000,0.6929,7.0917,-1.3055
edm,16.5000,0.8042,7.1315,-1.3361
edm,16.6000,0.6085,7.1561,-1.3095
edm,16.7000,0.9740,7.1603,-1.3747
edm,16.8000,0.9862,7.1323,-1.3675
edm,16.9000,0.6603,7.1117,-1.3065
edm,17.0000,0.8227,7.1430,-1.3359
